#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BLOC1S1	SNAPIN	1862423	1854850	9606.ENSP00000447537	9606.ENSP00000357674	0	0	0	0	0	0.760	0.900	0.866	0.996
CLU	APP	1849761	1846936	9606.ENSP00000315130	9606.ENSP00000284981	0	0	0	0	0	0.917	0.900	0.359	0.994
RBMX	HNRNPA0	1855309	1849840	9606.ENSP00000359645	9606.ENSP00000316042	0	0	0	0.652	0	0.908	0.900	0.243	0.991
HNRNPA0	HNRNPD	1849840	1849608	9606.ENSP00000316042	9606.ENSP00000313199	0	0	0	0.778	0	0.894	0.900	0.583	0.990
ITGAM	ITGB2	1862188	1848511	9606.ENSP00000441691	9606.ENSP00000303242	0	0	0	0	0	0.576	0.900	0.778	0.989
ITGAM	PTPRC	1862188	1854576	9606.ENSP00000441691	9606.ENSP00000356346	0	0	0	0	0	0	0	0.987	0.987
SLIT2	GPC1	1861570	1845468	9606.ENSP00000422591	9606.ENSP00000264039	0	0	0	0	0	0.812	0.900	0.393	0.987
LAMTOR3	LAMTOR1	1861620	1846579	9606.ENSP00000424183	9606.ENSP00000278671	0	0	0	0	0.068	0.798	0.900	0.324	0.985
BACE1	NCSTN	1850057	1847505	9606.ENSP00000318585	9606.ENSP00000294785	0	0	0	0	0	0.576	0	0.963	0.984
STX12	VAMP7	1856019	1845189	9606.ENSP00000363054	9606.ENSP00000262640	0	0	0	0	0.065	0.668	0.720	0.804	0.980
RBMX	HNRNPD	1855309	1849608	9606.ENSP00000359645	9606.ENSP00000313199	0	0	0	0.635	0	0.784	0.900	0.392	0.980
ITM2B	APP	1856892	1846936	9606.ENSP00000367828	9606.ENSP00000284981	0	0	0	0	0	0.576	0.900	0.561	0.979
C1QA	C1S	1856156	1851002	9606.ENSP00000363773	9606.ENSP00000328173	0	0	0	0	0	0	0.900	0.789	0.978
CD44	MSN	1860096	1853976	9606.ENSP00000398632	9606.ENSP00000353408	0	0	0	0	0	0.812	0	0.890	0.978
SDC4	MDK	1855743	1853909	9606.ENSP00000361818	9606.ENSP00000352852	0	0	0	0	0	0.576	0.900	0.500	0.976
GSTM1	EPHX1	1849425	1846231	9606.ENSP00000311469	9606.ENSP00000272167	0	0	0	0	0	0	0.900	0.757	0.974
LYZ	LTF	1844877	1843303	9606.ENSP00000261267	9606.ENSP00000231751	0	0	0	0	0	0.576	0.900	0.440	0.974
SDC4	GPC1	1855743	1845468	9606.ENSP00000361818	9606.ENSP00000264039	0	0	0	0	0	0	0.900	0.757	0.974
SDC4	SDCBP	1855743	1844759	9606.ENSP00000361818	9606.ENSP00000260130	0	0	0	0	0	0.576	0.900	0.450	0.974
STX8	VAMP7	1848716	1845189	9606.ENSP00000305255	9606.ENSP00000262640	0	0	0	0	0	0.778	0.540	0.767	0.974
ACTR1A	DCTN5	1855133	1848133	9606.ENSP00000358921	9606.ENSP00000300087	0	0	0	0	0	0.733	0.900	0.092	0.973
STX12	STX8	1856019	1848716	9606.ENSP00000363054	9606.ENSP00000305255	0	0	0	0	0	0.583	0.540	0.861	0.971
CD44	ICAM1	1860096	1845628	9606.ENSP00000398632	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.720	0.970
SLIT2	NTN1	1861570	1842318	9606.ENSP00000422591	9606.ENSP00000173229	0	0	0	0	0	0	0	0.966	0.966
PSAP	ASAH1	1858250	1857426	9606.ENSP00000378394	9606.ENSP00000371152	0	0	0	0	0.089	0	0.900	0.660	0.966
GRM2	APP	1858262	1846936	9606.ENSP00000378492	9606.ENSP00000284981	0	0	0	0	0	0	0.900	0.680	0.966
SDC4	PRKCD	1855743	1851365	9606.ENSP00000361818	9606.ENSP00000331602	0	0	0	0	0	0.576	0.900	0.198	0.963
COL1A2	COL1A1	1847845	1843064	9606.ENSP00000297268	9606.ENSP00000225964	0	0	0	0.930	0.166	0.576	0.900	0.902	0.963
C1S	C1QB	1851002	1849670	9606.ENSP00000328173	9606.ENSP00000313967	0	0	0	0	0.089	0	0.900	0.604	0.960
CTSB	CTSD	1852546	1843439	9606.ENSP00000342070	9606.ENSP00000236671	0	0	0	0	0.174	0.576	0	0.896	0.960
APP	GPC1	1846936	1845468	9606.ENSP00000284981	9606.ENSP00000264039	0	0	0	0	0	0.576	0.900	0.111	0.959
B2M	LYZ	1862817	1844877	9606.ENSP00000452780	9606.ENSP00000261267	0	0	0	0	0	0	0.900	0.586	0.956
MSN	ICAM1	1853976	1845628	9606.ENSP00000353408	9606.ENSP00000264832	0	0	0	0	0	0.564	0.800	0.532	0.955
RRAGC	LAMTOR1	1855800	1846579	9606.ENSP00000362092	9606.ENSP00000278671	0	0	0	0	0	0.892	0	0.591	0.954
CNR1	SST	1855040	1847077	9606.ENSP00000358511	9606.ENSP00000287641	0	0	0	0	0	0	0.900	0.534	0.951
GRM2	CNR1	1858262	1855040	9606.ENSP00000378492	9606.ENSP00000358511	0	0	0	0	0	0	0.900	0.521	0.950
APP	APOE	1846936	1844127	9606.ENSP00000284981	9606.ENSP00000252486	0	0	0	0	0	0.812	0	0.723	0.945
CALB2	PVALB	1848963	1842563	9606.ENSP00000307508	9606.ENSP00000216200	0	0	0	0	0	0	0	0.943	0.943
SDC4	GPC4	1855743	1855357	9606.ENSP00000361818	9606.ENSP00000359864	0	0	0	0	0	0	0.900	0.412	0.938
B2M	ICAM1	1862817	1845628	9606.ENSP00000452780	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.407	0.938
GPC5	GPC1	1856603	1845468	9606.ENSP00000366267	9606.ENSP00000264039	0	0	0	0.727	0	0.228	0.900	0.882	0.938
GPC5	GPC4	1856603	1855357	9606.ENSP00000366267	9606.ENSP00000359864	0	0	0	0.750	0	0.228	0.900	0.882	0.937
SNRPE	HNRNPD	1860230	1849608	9606.ENSP00000400591	9606.ENSP00000313199	0	0	0	0	0	0.361	0.900	0.107	0.937
VPS16	STX7	1857223	1854689	9606.ENSP00000369810	9606.ENSP00000356918	0	0	0	0	0	0.849	0	0.591	0.935
ITM2B	BACE1	1856892	1850057	9606.ENSP00000367828	9606.ENSP00000318585	0	0	0	0	0	0.573	0	0.846	0.931
RBMX	U2AF1	1855309	1847292	9606.ENSP00000359645	9606.ENSP00000291552	0	0	0	0	0	0	0.900	0.345	0.931
HIST1H1B	CBX5	1851214	1842455	9606.ENSP00000330074	9606.ENSP00000209875	0	0	0	0	0	0.576	0	0.844	0.931
CTSB	APP	1852546	1846936	9606.ENSP00000342070	9606.ENSP00000284981	0	0	0	0	0	0.053	0	0.930	0.931
VPS39	VPS33A	1850842	1845926	9606.ENSP00000326534	9606.ENSP00000267199	0	0	0	0	0.070	0.757	0	0.717	0.930
CD44	COL1A1	1860096	1843064	9606.ENSP00000398632	9606.ENSP00000225964	0	0	0	0	0	0.576	0.800	0.213	0.927
GRM2	SST	1858262	1847077	9606.ENSP00000378492	9606.ENSP00000287641	0	0	0	0	0	0	0.900	0.304	0.927
SNRPE	U2AF1	1860230	1847292	9606.ENSP00000400591	9606.ENSP00000291552	0	0	0	0	0.105	0	0.900	0.218	0.924
SST	APP	1847077	1846936	9606.ENSP00000287641	9606.ENSP00000284981	0	0	0	0	0	0	0.900	0.270	0.923
APP	LYZ	1846936	1844877	9606.ENSP00000284981	9606.ENSP00000261267	0	0	0	0	0	0	0.900	0.265	0.923
GPC5	SDC4	1856603	1855743	9606.ENSP00000366267	9606.ENSP00000361818	0	0	0	0	0	0	0.900	0.261	0.922
CLU	VWF	1849761	1844904	9606.ENSP00000315130	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.251	0.921
ITM2B	LYZ	1856892	1844877	9606.ENSP00000367828	9606.ENSP00000261267	0	0	0	0	0	0	0.900	0.250	0.921
HNRNPD	U2AF1	1849608	1847292	9606.ENSP00000313199	9606.ENSP00000291552	0	0	0	0	0.080	0	0.900	0.194	0.919
SDC4	APOE	1855743	1844127	9606.ENSP00000361818	9606.ENSP00000252486	0	0	0	0	0	0	0.900	0.216	0.918
CD44	COL1A2	1860096	1847845	9606.ENSP00000398632	9606.ENSP00000297268	0	0	0	0	0	0.576	0.800	0.117	0.918
GPC1	APOE	1845468	1844127	9606.ENSP00000264039	9606.ENSP00000252486	0	0	0	0	0	0	0.900	0.207	0.917
GPC5	APOE	1856603	1844127	9606.ENSP00000366267	9606.ENSP00000252486	0	0	0	0	0	0	0.900	0.209	0.917
B2M	CD44	1862817	1860096	9606.ENSP00000452780	9606.ENSP00000398632	0	0	0	0	0	0	0.900	0.205	0.917
EPHX1	GSTM5	1846231	1844452	9606.ENSP00000272167	9606.ENSP00000256593	0	0	0	0	0	0	0.900	0.207	0.917
NCSTN	APP	1847505	1846936	9606.ENSP00000294785	9606.ENSP00000284981	0	0	0	0	0	0.576	0	0.813	0.917
FLT1	GPC1	1846791	1845468	9606.ENSP00000282397	9606.ENSP00000264039	0	0	0	0	0	0	0.900	0.198	0.916
B2M	APP	1862817	1846936	9606.ENSP00000452780	9606.ENSP00000284981	0	0	0	0	0	0	0.900	0.197	0.916
APP	VWF	1846936	1844904	9606.ENSP00000284981	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.195	0.916
APBB1IP	VWF	1856462	1844904	9606.ENSP00000365411	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.165	0.912
B2M	ITM2B	1862817	1856892	9606.ENSP00000452780	9606.ENSP00000367828	0	0	0	0	0	0	0.900	0.159	0.912
CNR1	APP	1855040	1846936	9606.ENSP00000358511	9606.ENSP00000284981	0	0	0	0	0	0	0.900	0.151	0.911
WASF2	ARPC1B	1859921	1844155	9606.ENSP00000396211	9606.ENSP00000252725	0	0	0	0	0	0	0.900	0.145	0.910
STX12	VPS33A	1856019	1845926	9606.ENSP00000363054	9606.ENSP00000267199	0	0	0	0	0	0.363	0	0.864	0.910
PRKCD	PRKCG	1851365	1845356	9606.ENSP00000331602	9606.ENSP00000263431	0	0	0	0.843	0	0	0.900	0.670	0.910
B2M	LTF	1862817	1843303	9606.ENSP00000452780	9606.ENSP00000231751	0	0	0	0	0	0	0.900	0.137	0.910
C4A	C4BPA	1859957	1854507	9606.ENSP00000396688	9606.ENSP00000356037	0	0	0	0	0	0	0.900	0.125	0.908
PRKCD	ICAM1	1851365	1845628	9606.ENSP00000331602	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.112	0.907
GPC4	GPC1	1855357	1845468	9606.ENSP00000359864	9606.ENSP00000264039	0	0	0	0.927	0	0	0.900	0.863	0.906
GPC4	APOE	1855357	1844127	9606.ENSP00000359864	9606.ENSP00000252486	0	0	0	0	0	0	0.900	0.092	0.905
APP	LTF	1846936	1843303	9606.ENSP00000284981	9606.ENSP00000231751	0	0	0	0	0	0	0.900	0.092	0.905
HEXA	HEXB	1845991	1844907	9606.ENSP00000268097	9606.ENSP00000261416	0	0	0.527	0.963	0	0.900	0	0.872	0.905
COL25A1	COL1A1	1858694	1843064	9606.ENSP00000382083	9606.ENSP00000225964	0	0	0	0.671	0	0	0.900	0.171	0.904
ICAM1	PRKCG	1845628	1845356	9606.ENSP00000264832	9606.ENSP00000263431	0	0	0	0	0	0	0.900	0.077	0.903
COL25A1	COL1A2	1858694	1847845	9606.ENSP00000382083	9606.ENSP00000297268	0	0	0	0.665	0	0	0.900	0.153	0.903
RGS6	CNR1	1862736	1855040	9606.ENSP00000451030	9606.ENSP00000358511	0	0	0	0	0	0	0.900	0.076	0.903
HNRNPA0	U2AF1	1849840	1847292	9606.ENSP00000316042	9606.ENSP00000291552	0	0	0	0	0	0	0.900	0.067	0.902
EDIL3	ITGB5	1847762	1847692	9606.ENSP00000296591	9606.ENSP00000296181	0	0	0	0	0	0	0.900	0.063	0.902
SLIT2	SLIT1	1861570	1845848	9606.ENSP00000422591	9606.ENSP00000266058	0	0	0	0.977	0	0	0.900	0.563	0.901
RGS6	SST	1862736	1847077	9606.ENSP00000451030	9606.ENSP00000287641	0	0	0	0	0	0	0.900	0.053	0.901
ARL8A	ARL8B	1846235	1844443	9606.ENSP00000272217	9606.ENSP00000256496	0	0	0.527	0.988	0	0	0.900	0.620	0.901
GABRA5	GABRA1	1851869	1842192	9606.ENSP00000335592	9606.ENSP00000023897	0	0	0	0.976	0	0	0.900	0.733	0.901
GSTM1	GSTM5	1849425	1844452	9606.ENSP00000311469	9606.ENSP00000256593	0	0	0	0.986	0	0	0.900	0.786	0.901
CENPV	ARL8A	1848098	1846235	9606.ENSP00000299736	9606.ENSP00000272217	0	0	0	0	0	0	0.900	0	0.900
SNRPE	HNRNPA0	1860230	1849840	9606.ENSP00000400591	9606.ENSP00000316042	0	0	0	0	0	0	0.900	0	0.900
PLD3	DGKG	1853368	1845667	9606.ENSP00000348901	9606.ENSP00000265022	0	0	0	0	0	0	0.900	0.041	0.900
SNRPE	RBMX	1860230	1855309	9606.ENSP00000400591	9606.ENSP00000359645	0	0	0	0	0	0	0.900	0.041	0.900
ITM2B	LTF	1856892	1843303	9606.ENSP00000367828	9606.ENSP00000231751	0	0	0	0	0	0	0.900	0.043	0.900
RGS6	APP	1862736	1846936	9606.ENSP00000451030	9606.ENSP00000284981	0	0	0	0	0	0	0.900	0	0.900
RGS6	GRM2	1862736	1858262	9606.ENSP00000451030	9606.ENSP00000378492	0	0	0	0	0	0	0.900	0	0.900
CENPV	ARL8B	1848098	1844443	9606.ENSP00000299736	9606.ENSP00000256496	0	0	0	0	0	0	0.900	0	0.900
VAMP1	VAMP7	1858381	1845189	9606.ENSP00000379602	9606.ENSP00000262640	0	0	0	0	0.079	0.222	0.540	0.718	0.894
VAMP1	STX7	1858381	1854689	9606.ENSP00000379602	9606.ENSP00000356918	0	0	0	0	0	0.353	0.540	0.661	0.890
NRXN1	SYT13	1859018	1842189	9606.ENSP00000385142	9606.ENSP00000020926	0	0	0	0	0	0.576	0	0.745	0.887
EEF1G	FLNC	1851407	1850897	9606.ENSP00000331901	9606.ENSP00000327145	0	0	0	0	0	0.880	0	0.069	0.883
APP	CTSD	1846936	1843439	9606.ENSP00000284981	9606.ENSP00000236671	0	0	0	0	0	0.812	0	0.404	0.883
STX7	VPS33A	1854689	1845926	9606.ENSP00000356918	9606.ENSP00000267199	0	0	0	0	0	0.363	0	0.823	0.882
SLIT1	NTN1	1845848	1842318	9606.ENSP00000266058	9606.ENSP00000173229	0	0	0	0	0	0	0	0.882	0.882
NPC1	CTSD	1846078	1843439	9606.ENSP00000269228	9606.ENSP00000236671	0	0	0	0	0	0	0	0.877	0.877
CLU	LTF	1849761	1843303	9606.ENSP00000315130	9606.ENSP00000231751	0	0	0	0	0	0	0	0.874	0.874
GAP43	NRGN	1858122	1846899	9606.ENSP00000377372	9606.ENSP00000284292	0	0	0	0	0	0	0	0.874	0.874
SNRPE	ICAM1	1860230	1845628	9606.ENSP00000400591	9606.ENSP00000264832	0	0	0	0	0	0	0	0.872	0.873
VPS41	VAMP7	1849177	1845189	9606.ENSP00000309457	9606.ENSP00000262640	0	0	0	0	0	0.702	0	0.587	0.871
STX7	VPS41	1854689	1849177	9606.ENSP00000356918	9606.ENSP00000309457	0	0	0	0	0	0.509	0	0.749	0.871
VAMP1	STX12	1858381	1856019	9606.ENSP00000379602	9606.ENSP00000363054	0	0	0	0	0	0.353	0.540	0.597	0.869
VPS16	VAMP7	1857223	1845189	9606.ENSP00000369810	9606.ENSP00000262640	0	0	0	0	0	0.726	0	0.534	0.866
APP	BLMH	1846936	1844972	9606.ENSP00000284981	9606.ENSP00000261714	0	0	0	0	0	0.812	0	0.312	0.865
VPS39	VAMP7	1850842	1845189	9606.ENSP00000326534	9606.ENSP00000262640	0	0	0	0	0	0.710	0	0.549	0.863
CLSTN1	APP	1856657	1846936	9606.ENSP00000366513	9606.ENSP00000284981	0	0	0	0	0	0.801	0	0.341	0.863
COL25A1	APP	1858694	1846936	9606.ENSP00000382083	9606.ENSP00000284981	0	0	0	0	0	0.807	0	0.315	0.862
WASF2	RAC2	1859921	1843949	9606.ENSP00000396211	9606.ENSP00000249071	0	0	0	0	0	0	0.800	0.334	0.861
VAMP1	STX8	1858381	1848716	9606.ENSP00000379602	9606.ENSP00000305255	0	0	0	0	0	0.430	0.540	0.510	0.860
ITGB5	COL1A1	1847692	1843064	9606.ENSP00000296181	9606.ENSP00000225964	0	0	0	0	0	0	0.800	0.321	0.858
ITM2B	APLP1	1856892	1842867	9606.ENSP00000367828	9606.ENSP00000221891	0	0	0	0	0	0	0	0.855	0.855
RRAGC	LAMTOR2	1855800	1854774	9606.ENSP00000362092	9606.ENSP00000357288	0	0	0	0	0	0.758	0	0.412	0.852
STX8	VPS33A	1848716	1845926	9606.ENSP00000305255	9606.ENSP00000267199	0	0	0	0	0	0.319	0	0.787	0.849
COL1A2	ITGB5	1847845	1847692	9606.ENSP00000297268	9606.ENSP00000296181	0	0	0	0	0	0	0.800	0.256	0.844
PTPRC	ICAM1	1854576	1845628	9606.ENSP00000356346	9606.ENSP00000264832	0	0	0	0	0	0	0	0.837	0.837
FLNC	ITGB5	1850897	1847692	9606.ENSP00000327145	9606.ENSP00000296181	0	0	0	0	0	0.103	0.800	0.161	0.836
STX12	VPS41	1856019	1849177	9606.ENSP00000363054	9606.ENSP00000309457	0	0	0	0	0	0.509	0	0.679	0.835
LAMP1	CTSD	1851571	1843439	9606.ENSP00000333298	9606.ENSP00000236671	0	0	0	0	0.071	0	0	0.825	0.830
CYBA	RAC2	1844952	1843949	9606.ENSP00000261623	9606.ENSP00000249071	0	0	0	0	0	0	0	0.823	0.823
SST	PVALB	1847077	1842563	9606.ENSP00000287641	9606.ENSP00000216200	0	0	0	0	0	0	0	0.822	0.822
LAMP2	ANXA4	1860717	1858179	9606.ENSP00000408411	9606.ENSP00000377833	0	0	0	0	0	0	0	0.822	0.822
VPS33A	VAMP7	1845926	1845189	9606.ENSP00000267199	9606.ENSP00000262640	0	0	0	0	0	0.707	0	0.406	0.818
SERPINE2	MDK	1861176	1853909	9606.ENSP00000415786	9606.ENSP00000352852	0	0	0	0	0	0	0	0.815	0.816
SDC4	COL1A2	1855743	1847845	9606.ENSP00000361818	9606.ENSP00000297268	0	0	0	0	0	0	0.800	0.118	0.816
RAN	RANBP6	1857999	1844706	9606.ENSP00000376176	9606.ENSP00000259569	0	0	0	0	0.086	0.638	0	0.484	0.814
ICAM1	VWF	1845628	1844904	9606.ENSP00000264832	9606.ENSP00000261405	0	0	0	0	0	0	0	0.813	0.813
VWF	VTN	1844904	1843077	9606.ENSP00000261405	9606.ENSP00000226218	0	0	0	0	0	0	0	0.812	0.812
PRKCD	HIST1H1B	1851365	1851214	9606.ENSP00000331602	9606.ENSP00000330074	0	0	0	0	0	0.812	0	0	0.812
PSAP	CTSD	1858250	1843439	9606.ENSP00000378394	9606.ENSP00000236671	0	0	0	0	0.174	0.576	0	0.507	0.812
ITGB5	VWF	1847692	1844904	9606.ENSP00000296181	9606.ENSP00000261405	0	0	0	0	0	0	0.800	0.096	0.811
ITGB5	PRKCG	1847692	1845356	9606.ENSP00000296181	9606.ENSP00000263431	0	0	0	0	0	0.096	0.800	0	0.811
CALB2	SST	1848963	1847077	9606.ENSP00000307508	9606.ENSP00000287641	0	0	0	0	0	0	0	0.810	0.810
VPS16	STX12	1857223	1856019	9606.ENSP00000369810	9606.ENSP00000363054	0	0	0	0	0	0.667	0	0.449	0.808
SDC4	COL1A1	1855743	1843064	9606.ENSP00000361818	9606.ENSP00000225964	0	0	0	0	0	0	0.800	0.067	0.805
WASF2	DKK3	1859921	1849740	9606.ENSP00000396211	9606.ENSP00000314910	0	0	0	0	0	0	0	0.800	0.800
CTSB	APOE	1852546	1844127	9606.ENSP00000342070	9606.ENSP00000252486	0	0	0	0	0	0.576	0	0.510	0.783
ACTR1A	LCP1	1855133	1849816	9606.ENSP00000358921	9606.ENSP00000315757	0	0	0	0	0	0.345	0	0.670	0.775
CNN3	LCP1	1855196	1849816	9606.ENSP00000359225	9606.ENSP00000315757	0	0	0	0	0	0.634	0	0.409	0.774
LAMTOR3	RRAGC	1861620	1855800	9606.ENSP00000424183	9606.ENSP00000362092	0	0	0	0	0	0.758	0	0.089	0.770
ANXA2	CTSB	1853005	1852546	9606.ENSP00000346032	9606.ENSP00000342070	0	0	0	0	0	0.576	0	0.472	0.766
ITM2C	BACE1	1850477	1850057	9606.ENSP00000322730	9606.ENSP00000318585	0	0	0	0	0	0.573	0	0.439	0.750
LAMP1	NCSTN	1851571	1847505	9606.ENSP00000333298	9606.ENSP00000294785	0	0	0	0	0	0.567	0	0.419	0.737
LAMP2	CTSD	1860717	1843439	9606.ENSP00000408411	9606.ENSP00000236671	0	0	0	0	0	0.101	0	0.720	0.737
NCSTN	APLP2	1847505	1845368	9606.ENSP00000294785	9606.ENSP00000263574	0	0	0	0	0	0	0	0.736	0.736
BACE1	APLP2	1850057	1845368	9606.ENSP00000318585	9606.ENSP00000263574	0	0	0	0	0	0	0	0.729	0.729
TIMP2	VTN	1845213	1843077	9606.ENSP00000262768	9606.ENSP00000226218	0	0	0	0	0	0.107	0	0.706	0.726
ICAM1	APOE	1845628	1844127	9606.ENSP00000264832	9606.ENSP00000252486	0	0	0	0	0	0	0	0.725	0.725
C4A	C1S	1859957	1851002	9606.ENSP00000396688	9606.ENSP00000328173	0	0	0	0	0	0	0	0.723	0.723
CLU	APOE	1849761	1844127	9606.ENSP00000315130	9606.ENSP00000252486	0	0	0	0	0	0	0	0.720	0.720
IGSF9B	SLIT1	1849998	1845848	9606.ENSP00000317980	9606.ENSP00000266058	0	0	0	0	0	0.323	0	0.601	0.718
SLIT2	IGSF9B	1861570	1849998	9606.ENSP00000422591	9606.ENSP00000317980	0	0	0	0	0	0.323	0	0.601	0.718
CLU	LYZ	1849761	1844877	9606.ENSP00000315130	9606.ENSP00000261267	0	0	0	0	0	0.576	0	0.357	0.715
TAGLN2	LCP1	1854730	1849816	9606.ENSP00000357075	9606.ENSP00000315757	0	0	0	0	0	0.444	0	0.506	0.714
SLIT1	GPC1	1845848	1845468	9606.ENSP00000266058	9606.ENSP00000264039	0	0	0	0	0	0.576	0	0.334	0.705
PTPRC	VWF	1854576	1844904	9606.ENSP00000356346	9606.ENSP00000261405	0	0	0	0	0	0	0	0.705	0.705
CD44	PTPRC	1860096	1854576	9606.ENSP00000398632	9606.ENSP00000356346	0	0	0	0	0	0	0	0.704	0.704
STX7	VPS39	1854689	1850842	9606.ENSP00000356918	9606.ENSP00000326534	0	0	0	0	0.065	0.309	0	0.579	0.704
C4A	C1QA	1859957	1856156	9606.ENSP00000396688	9606.ENSP00000363773	0	0	0	0	0	0	0	0.702	0.702
CTSB	LAMP1	1852546	1851571	9606.ENSP00000342070	9606.ENSP00000333298	0	0	0	0	0.288	0	0	0.596	0.700
FLT1	VWF	1846791	1844904	9606.ENSP00000282397	9606.ENSP00000261405	0	0	0	0	0	0	0	0.700	0.700
SFPQ	U2AF1	1853490	1847292	9606.ENSP00000349748	9606.ENSP00000291552	0	0	0	0	0.064	0.586	0	0.241	0.680
DSP	VIM	1857096	1842995	9606.ENSP00000369129	9606.ENSP00000224237	0	0	0	0	0	0.566	0	0.285	0.676
PTPRC	ITGB2	1854576	1848511	9606.ENSP00000356346	9606.ENSP00000303242	0	0	0	0	0.180	0.149	0	0.570	0.673
SCIN	RAC2	1847816	1843949	9606.ENSP00000297029	9606.ENSP00000249071	0	0	0	0	0	0	0	0.668	0.668
RAN	U2AF1	1857999	1847292	9606.ENSP00000376176	9606.ENSP00000291552	0	0	0	0	0.102	0.644	0	0	0.666
GRM2	APLP2	1858262	1845368	9606.ENSP00000378492	9606.ENSP00000263574	0	0	0	0	0	0	0	0.663	0.663
ARSB	HEXB	1845642	1844907	9606.ENSP00000264914	9606.ENSP00000261416	0	0	0	0	0	0	0	0.660	0.660
CLCN3	OSTM1	1844928	1842359	9606.ENSP00000261514	9606.ENSP00000193322	0	0	0	0	0	0	0	0.656	0.656
RPL21	EEF1B2	1853004	1843444	9606.ENSP00000346027	9606.ENSP00000236957	0	0	0	0	0.628	0	0	0.109	0.654
PSAP	CTSB	1858250	1852546	9606.ENSP00000378394	9606.ENSP00000342070	0	0	0	0	0.490	0	0	0.351	0.654
ANXA4	ANXA3	1858179	1845641	9606.ENSP00000377833	9606.ENSP00000264908	0	0	0	0.956	0	0.644	0	0.503	0.651
VWF	COL1A1	1844904	1843064	9606.ENSP00000261405	9606.ENSP00000225964	0	0	0	0	0	0.576	0	0.209	0.650
BACE1	APLP1	1850057	1842867	9606.ENSP00000318585	9606.ENSP00000221891	0	0	0	0	0	0	0	0.650	0.650
STX12	VPS39	1856019	1850842	9606.ENSP00000363054	9606.ENSP00000326534	0	0	0	0	0.065	0.309	0	0.499	0.648
PTPN6	PRKCD	1859578	1851365	9606.ENSP00000391592	9606.ENSP00000331602	0	0	0	0	0	0.576	0	0.201	0.647
LOR	SPRR1B	1854862	1848846	9606.ENSP00000357731	9606.ENSP00000306461	0	0	0	0	0	0	0	0.645	0.645
VPS33A	VIM	1845926	1842995	9606.ENSP00000267199	9606.ENSP00000224237	0	0	0	0	0	0.644	0	0	0.644
