Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,"Found in Sample: [S1] F1: 126, Sample, n/a","Found in Sample: [S2] F1: 127, Sample, APPPS1_SPR1","Found in Sample: [S3] F1: 128, Sample, APPPS1_SPR2","Found in Sample: [S4] F1: 129, Sample, APPPS1_NPR1","Found in Sample: [S5] F1: 130, Sample, APPPS1_NPR2","Found in Sample: [S6] F1: 131, Sample, WT_CONTROL",Abundance Ratio: (APPPS1_SPR1) / (APPPS1_NPR1),Abundance Ratio: (APPPS1_SPR2) / (APPPS1_NPR2),Abundance Ratio: (APPPS1_NPR1) / (WT_CONTROL),Abundance Ratio: (APPPS1_NPR2) / (WT_CONTROL),"Abundances (Normalized): F1: 126, Sample, n/a","Abundances (Normalized): F1: 127, Sample, APPPS1_SPR1","Abundances (Normalized): F1: 128, Sample, APPPS1_SPR2","Abundances (Normalized): F1: 129, Sample, APPPS1_NPR1","Abundances (Normalized): F1: 130, Sample, APPPS1_NPR2","Abundances (Normalized): F1: 131, Sample, WT_CONTROL",emPAI,# Razor Peptides,Score Sequest HT,# Peptides Sequest HT
FALSE,Master Protein,P07901,Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4,57.70804911,60,949,40,1,733,84.735,5.01,High,High,High,High,High,High,0.956,1.018,1.05,1.154,109242.2,189984.7,222297.1,198803.5,218455.7,189380.9,6917.31,0,3261.850533,60
FALSE,Master Protein,P11499,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3,68.37016575,67,972,45,1,724,83.229,5.03,High,High,High,High,High,High,0.927,0.951,1.112,1.218,223505.9,359105.5,403605.8,387401.7,424284.7,348292.3,7333.738,43,3237.722097,67
FALSE,Master Protein,P39053,Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=2,71.51095732,77,970,58,1,867,97.741,7.74,High,High,High,High,High,High,0.883,1.071,0.973,0.831,1220631.2,370560.4,384063.3,419839.5,358491.9,431595.2,3214.484,31,3227.374771,77
FALSE,Master Protein,P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2",68.24196597,34,905,34,1,529,56.265,5.34,High,High,High,High,High,High,0.943,0.931,0.893,0.933,175374.2,268771.8,277054.3,285037.2,297699.6,319052.5,12180.879,0,3191.213779,34
FALSE,Master Protein,P46460,Vesicle-fusing ATPase OS=Mus musculus GN=Nsf PE=1 SV=2,62.6344086,70,1002,69,1,744,82.561,6.95,High,High,High,High,High,High,0.95,1.111,1.031,1.031,251618.8,418073.3,488696.9,440275.4,440035.9,426950.8,6460.671,3,3185.202619,70
FALSE,Master Protein,Q922F4,Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1,47.42729306,24,1007,5,1,447,50.058,4.89,High,High,High,High,High,High,1.261,0.577,1.157,1.243,24471.8,11996.6,5897.8,9511.9,10217.5,8223.3,74988.421,0,3127.760027,24
FALSE,Master Protein,P08226,Apolipoprotein E OS=Mus musculus GN=Apoe PE=1 SV=2,70.41800643,48,899,48,1,311,35.844,5.68,High,High,High,High,High,High,4.807,5.659,1.268,1.272,167886.7,469306.4,554044.1,97621.8,97909.9,77001.5,9999999,0,2918.707696,48
FALSE,Master Protein,P68033,"Actin, alpha cardiac muscle 1 OS=Mus musculus GN=Actc1 PE=1 SV=1",50.66312997,26,953,1,1,377,41.992,5.39,High,High,High,High,High,High,1.412,1.408,0.854,0.877,18472.7,29443.5,30167.3,20848.4,21421,24413.1,23712.737,8,2907.879083,26
FALSE,Master Protein,P68134,"Actin, alpha skeletal muscle OS=Mus musculus GN=Acta1 PE=1 SV=1",50.66312997,26,948,1,1,377,42.024,5.39,High,High,High,High,High,High,1.272,1.055,1.017,0.992,239.7,299.2,242.2,235.1,229.5,231.3,17781.794,0,2887.992259,26
FALSE,Master Protein,P63101,14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1,66.53061224,25,834,18,1,245,27.754,4.79,High,High,High,High,High,High,0.947,0.965,0.942,1.047,220295.2,307399.8,348443,324596.5,361039.3,344755.9,811129.831,13,2873.083793,25
FALSE,Master Protein,P03995,Glial fibrillary acidic protein OS=Mus musculus GN=Gfap PE=1 SV=4,86.27906977,68,851,65,1,430,49.87,5.34,High,High,High,High,High,High,3.481,3.444,1.817,2.097,440854.6,552393.6,630925,158707.2,183214.9,87359.6,84493.661,6,2844.282935,68
FALSE,Master Protein,O88737,Protein bassoon OS=Mus musculus GN=Bsn PE=1 SV=4,50.58346017,171,905,169,1,3942,418.587,7.71,High,High,High,High,High,High,0.751,0.733,0.881,0.851,214406.1,184073,173493.1,245190,236732.6,278189.9,41.223,4,2822.18625,171
FALSE,Master Protein,P05063,Fructose-bisphosphate aldolase C OS=Mus musculus GN=Aldoc PE=1 SV=4,76.30853994,36,777,27,1,363,39.37,7.12,High,High,High,High,High,High,0.981,1.098,1,0.962,135673.5,159291.2,171497.4,162365,156257.4,162409.2,301994.172,0,2753.457025,36
FALSE,Master Protein,P14873,Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2,53.44967532,126,743,124,1,2464,270.089,4.83,High,High,High,High,High,High,0.871,0.81,1.352,1.413,129888.7,290114.6,282000.8,333203.3,348286.7,246485.4,123.707,0,2604.538167,126
FALSE,Master Protein,P18872,Guanine nucleotide-binding protein G(o) subunit alpha OS=Mus musculus GN=Gnao1 PE=1 SV=3,55.64971751,26,725,23,1,354,40.059,5.53,High,High,High,High,High,High,0.742,0.937,1.033,0.976,140403.9,322741.7,385019.9,434838.1,411079.3,421004.7,17781.794,5,2571.074803,26
FALSE,Master Protein,Q7TSJ2,Microtubule-associated protein 6 OS=Mus musculus GN=Map6 PE=1 SV=2,86.97571744,78,731,78,1,906,96.391,9.5,High,High,High,High,High,High,1.065,0.996,0.888,0.911,125405.5,214197.9,205178.7,201066.7,206086.8,226342.9,1172.396,0,2452.6416,78
FALSE,Master Protein,Q99KI0,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1",62.05128205,58,682,58,1,780,85.41,7.93,High,High,High,High,High,High,0.935,1.003,0.865,0.863,137040.6,217517.4,232890,232653.3,232093.3,269091.2,2954.209,0,2408.961219,58
FALSE,Master Protein,Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",66.54611212,52,765,52,1,553,59.716,9.19,High,High,High,High,High,High,0.779,0.811,0.99,0.991,224890,333925.5,348237,428724.3,429160,433145.5,7195.857,0,2389.439432,52
FALSE,Master Protein,Q61879,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2,59.05870445,142,663,116,1,1976,228.855,5.54,High,High,High,High,High,High,1.093,1.077,0.994,0.999,139916.7,278224.8,275337.7,254549.1,255756.1,255990.6,78.318,31,2335.29896,142
FALSE,Master Protein,P60879,Synaptosomal-associated protein 25 OS=Mus musculus GN=Snap25 PE=1 SV=1,82.52427184,29,617,28,1,206,23.3,4.77,High,High,High,High,High,High,0.877,1.056,0.89,0.87,67283.2,154860.9,182399,176597.1,172676.6,198420.5,26366507.99,4,2216.415944,29
FALSE,Master Protein,Q9Z1G4,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Mus musculus GN=Atp6v0a1 PE=1 SV=3,35.28009535,41,651,41,1,839,96.404,6.76,High,High,High,High,High,High,1.144,1.274,1.026,1.012,143265.1,219548.4,241226.6,191875.6,189390.7,187099.5,3413.549,0,2147.682431,41
FALSE,Master Protein,Q9QYX7,Protein piccolo OS=Mus musculus GN=Pclo PE=1 SV=4,34.86582478,157,703,155,1,5068,550.496,6.51,High,High,High,High,High,High,0.919,0.857,0.975,0.92,177795.5,194537.2,171245.5,211749.1,199863.4,217241.2,14.566,0,2116.168247,157
FALSE,Master Protein,Q9R0K7,Plasma membrane calcium-transporting ATPase 2 OS=Mus musculus GN=Atp2b2 PE=1 SV=2,47.74624374,66,653,47,1,1198,132.503,5.96,High,High,High,High,High,High,0.68,0.838,0.766,0.642,97427.2,192752.1,199160.5,283508.2,237581.2,370002.5,218.839,34,2115.443226,66
FALSE,Master Protein,P11798,Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Mus musculus GN=Camk2a PE=1 SV=2,57.53138075,43,678,34,1,478,54.081,7.08,High,High,High,High,High,High,0.875,1.004,0.97,0.932,506440.6,238364.3,262873.9,272457.6,261730.1,280828.6,33837.552,21,2101.377849,43
FALSE,Master Protein,P04370,Myelin basic protein OS=Mus musculus GN=Mbp PE=1 SV=2,35.6,12,776,12,1,250,27.151,9.58,High,High,High,High,High,High,0.632,0.763,1.439,1.291,540561.2,152337.8,164899.9,241173.2,216225.5,167541.9,64.793,0,2059.12004,12
FALSE,Master Protein,Q9CQV8,14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3,62.19512195,21,673,11,1,246,28.069,4.83,High,High,High,High,High,High,1.081,1.054,0.996,0.985,19651.8,46507.4,44828.6,43007.9,42512.8,43181.3,46414.888,0,2052.71709,21
FALSE,Master Protein,O55131,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1,63.53211009,41,662,39,1,436,50.518,8.57,High,High,High,High,High,High,0.983,1.008,0.951,0.906,111044,261807.2,255699.3,266399.8,253690.7,280150.6,124092.776,4,2023.29491,41
FALSE,Master Protein,P16858,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2,69.06906907,26,561,26,1,333,35.787,8.25,High,High,High,High,High,High,1.327,1.411,1.18,1.065,235917.5,283324.2,272011.3,213574,192793.1,180966.3,28728.848,0,2008.840846,26
FALSE,Master Protein,P62814,"V-type proton ATPase subunit B, brain isoform OS=Mus musculus GN=Atp6v1b2 PE=1 SV=1",63.20939335,38,553,38,1,511,56.515,5.81,High,High,High,High,High,High,0.96,0.973,1.017,1.038,134649.6,198254.1,205158.7,206508.3,210786,203024.5,15398.265,0,1983.870899,38
FALSE,Master Protein,Q06890,Clusterin OS=Mus musculus GN=Clu PE=1 SV=1,47.76785714,31,606,31,1,448,51.623,5.67,High,High,High,High,High,High,5.967,7.097,1.282,1.258,129728.4,452871.4,528592.9,75892.8,74476.4,59210.7,9209.553,0,1969.092835,31
FALSE,Master Protein,P17710,Hexokinase-1 OS=Mus musculus GN=Hk1 PE=1 SV=3,57.08418891,75,642,71,1,974,108.234,6.8,High,High,High,High,High,High,0.833,0.961,1.057,1.033,236787.6,248680.1,280451.8,298562.9,291856.1,282525.4,429.331,8,1964.549278,75
FALSE,Master Protein,G5E829,Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus GN=Atp2b1 PE=1 SV=1,43.19672131,58,576,33,1,1220,134.662,5.91,High,High,High,High,High,High,0.716,0.79,0.994,0.898,68386,114538.4,114144.5,159956.7,144539.2,160886.1,133.34,11,1945.617558,58
FALSE,Master Protein,P43006,Excitatory amino acid transporter 2 OS=Mus musculus GN=Slc1a2 PE=1 SV=1,33.21678322,26,823,26,1,572,61.99,6.68,High,High,High,High,High,High,0.804,1.117,0.895,0.851,111684.5,206325.9,272607.7,256677.9,244078.4,286855.5,2711.273,0,1943.89675,26
FALSE,Master Protein,P16330,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Mus musculus GN=Cnp PE=1 SV=3",65.47619048,41,544,40,1,420,47.094,8.97,High,High,High,High,High,High,0.64,0.857,1.325,1.173,131957.4,214725.1,254626.8,335672.6,297248.9,253419.1,2060.986,1,1933.061395,41
FALSE,Master Protein,P13595,Neural cell adhesion molecule 1 OS=Mus musculus GN=Ncam1 PE=1 SV=3,43.94618834,54,574,54,1,1115,119.353,4.83,High,High,High,High,High,High,0.734,0.762,1.198,1.251,119604.5,210134.1,227989.3,286404.4,299035.2,239102.4,269.917,0,1889.814001,54
FALSE,Master Protein,P06745,Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4,56.63082437,41,563,41,1,558,62.727,8.13,High,High,High,High,High,High,0.963,0.985,1.237,1.203,154567,239264.8,238204.5,248560,241873.4,201017.6,4070.516,0,1887.144149,41
FALSE,Master Protein,P14094,Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus GN=Atp1b1 PE=1 SV=1,54.27631579,32,595,32,1,304,35.172,8.65,High,High,High,High,High,High,0.677,0.754,0.913,0.866,112375.5,240430.4,253932.6,355035.4,336759.1,389031.4,2511885.432,0,1884.846634,32
FALSE,Master Protein,P50516,V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2,58.02269044,39,641,39,1,617,68.283,5.58,High,High,High,High,High,High,1.156,1.146,0.949,0.999,177438.7,215061.2,224324.3,186065.2,195771,196054.3,1173.269,0,1873.811623,39
FALSE,Master Protein,P61982,14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2,69.63562753,26,599,17,1,247,28.285,4.89,High,High,High,High,High,High,0.809,0.91,0.952,1.007,328067.9,168621.6,200774.2,208492.9,220573.2,219028.4,41594.622,18,1859.954259,26
FALSE,Master Protein,Q9JJZ2,Tubulin alpha-8 chain OS=Mus musculus GN=Tuba8 PE=1 SV=1,44.98886414,21,569,6,1,449,50.02,5.1,High,High,High,High,High,High,0.918,0.962,0.663,0.562,5852,8937,7947.2,9740.6,8264.6,14702.1,14453.398,0,1815.450647,21
FALSE,Master Protein,P28652,Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Mus musculus GN=Camk2b PE=1 SV=2,63.46863469,39,571,25,1,542,60.423,7.28,High,High,High,High,High,High,0.954,0.92,1.028,1.056,249496.3,111752.2,110805.8,117198.2,120441.7,114020.2,5906.838,18,1809.266065,39
FALSE,Master Protein,Q9WV92,Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3 PE=1 SV=1,64.37029064,72,488,61,1,929,103.274,5.31,High,High,High,High,High,High,0.836,0.867,0.92,0.819,84632,152208.5,140603.9,182104.6,162127.4,197880.3,304.699,14,1765.868538,72
FALSE,Master Protein,P62259,14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1,69.80392157,27,548,24,1,255,29.155,4.74,High,High,High,High,High,High,1.089,1.099,0.862,0.937,94461.4,228471.5,250556.6,209862.7,228080.5,243534.2,215442.469,6,1765.017798,27
FALSE,Master Protein,Q8CAQ8,MICOS complex subunit Mic60 OS=Mus musculus GN=Immt PE=1 SV=1,69.35270806,62,486,62,1,757,83.848,6.61,High,High,High,High,High,High,0.777,0.777,0.993,1.012,109870.4,174228.1,177260,224089,228255.5,225634.8,561.341,0,1749.307235,62
FALSE,Master Protein,P17182,Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3,77.88018433,40,459,36,1,434,47.111,6.8,High,High,High,High,High,High,1.081,1.384,1.548,1.268,317031.8,229804.1,240884.9,212648.5,174101,137334.4,9304.72,5,1734.884452,40
FALSE,Master Protein,Q99104,Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=2,47.38262277,103,521,102,1,1853,215.402,8.63,High,High,High,High,High,High,1.07,1.121,0.932,0.875,172047.1,229199.6,225551.4,214169.1,201243.4,229883.8,33.389,1,1724.233423,103
FALSE,Master Protein,P12960,Contactin-1 OS=Mus musculus GN=Cntn1 PE=1 SV=1,49.50980392,53,519,53,1,1020,113.317,6.16,High,High,High,High,High,High,0.818,0.843,0.972,1.037,120326.6,146861.9,161429.6,179452,191541.7,184715.9,159.651,0,1722.080723,53
FALSE,Master Protein,P08553,Neurofilament medium polypeptide OS=Mus musculus GN=Nefm PE=1 SV=4,58.96226415,64,509,57,1,848,95.859,4.77,High,High,High,High,High,High,0.913,1.023,1.098,1.009,122169.2,244927.1,252111.9,268203.6,246354,244248.9,150.55,11,1717.485308,64
FALSE,Master Protein,Q60932,Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1 PE=1 SV=3,75,28,481,27,1,296,32.331,8.43,High,High,High,High,High,High,1.483,1.279,0.853,0.946,135794.1,238499.8,228072.6,160796.3,178378.1,188548.1,2069137.081,2,1702.368203,28
FALSE,Master Protein,P09411,Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4,84.41247002,36,510,36,1,417,44.522,7.9,High,High,High,High,High,High,1.024,1.052,1.114,1.132,195773.9,244780.8,255390.3,238982,242834.8,214575.5,5178.475,0,1696.779517,36
FALSE,Master Protein,Q7TPR4,Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1,58.40807175,58,492,34,1,892,103.004,5.38,High,High,High,High,High,High,0.819,0.865,0.876,0.855,76904.9,105091.5,108282.9,128273.2,125254.9,146485.3,211.99,5,1641.977539,58
FALSE,Master Protein,APPswe,Isoform APP695 of Amyloid beta A4 protein with swe mutation OS=Mus musculus GN=APP,40,25,539,22,1,695,78.457,4.83,High,High,High,High,High,High,3.145,3.425,1.533,1.506,175332.8,207694.5,222257.9,66049.4,64892.3,43079.5,148.624,4,1633.567313,25
FALSE,Master Protein,P16125,L-lactate dehydrogenase B chain OS=Mus musculus GN=Ldhb PE=1 SV=2,54.19161677,23,512,21,1,334,36.549,6.05,High,High,High,High,High,High,0.913,1.039,0.88,0.82,168450.6,207149.9,219503.6,226865.6,211243.7,257728,9999,0,1625.617092,23
FALSE,Master Protein,Q9R0P9,Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus GN=Uchl1 PE=1 SV=1,63.67713004,17,539,17,1,223,24.822,5.24,High,High,High,High,High,High,0.889,0.889,1.284,1.397,80309.7,191539,208358.7,215447.1,234432.9,167819.4,486966.525,0,1574.970673,17
